,Sentence,Sentiment
5213,$TSLA yeah lets go down to 230s lol,0
5600,"Via the move , the company aims annual savings of some EUR3m , the main part of which are expected to be realized this year .",2
3392,Sales of mid-strength beer decreased by 40 % .,0
3648,The company said that sales in the three months to the end of March slid to EUR86 .4 m US$ 113.4 m from EUR91 .2 m last year .,0
951,EPS dropped to EUR0 .2 from EUR0 .3 .,0
704,The combined capital of these funds is expected to be EUR 100mn-150mn .,1
5362,"Operating profit for the six-month period decreased from EUR111 .9 m , while sales increased from EUR1 ,275 m , as compared to the corresponding period in 2006 .",1
221,"Revenue for the quarter totaled 27.4 billion , down 2 percent from 28.1 billion in the fourth quarter in 2008 .",0
2518,"Steve Jackson , eBusiness Analyst at Satama and former CEO of Aboavista said : `` Google broke the mold when they gave away Google Analytics for free .",1
3400,"Finnish steel maker Rautaruukki Oyj ( HEL : RTRKS ) , or Ruukki , said today its net loss contracted to EUR 49 million ( USD 68.2 m ) for the first nine months of 2010 from EUR 229 million for the same period a year ago .",2
2127,The terms and conditions of the year 2003 stock option scheme were published in a stock exchange release on 31 March 2003 .,1
17,"According to L+ñnnen Tehtaat 's CEO Matti Karppinen , the company aims to deliver fish products to its customers a day earlier than it currently does .",1
3960,"HELSINKI (Thomson Financial)- Kemira GrowHow swung into profit in its first quarter earnings on improved sales , especially in its fertilizer business in Europe , which is normally stronger during the first quarter .",2
2620,"As capacity was cut with 1.4 % , the passenger load factor was down 7.8 percentage points .",1
1171,Finnish OKO bank has signed a cooperation agreement with Raiffeisen concerning Finnish companies ' investments in Russia .,2
4934,Nordea Bank Estonia is part of the largest financial group in the Nordic countries .,1
5062,"The upgrade is intended to raise the network capacity from 450 MHz to 630 MHz in several cities , enabling bi-directional services for digital television as well as broadband data .",2
1432,"Following the acquisition , Relacom will strengthen its presence in Finland , serving operators and office market with mobile and fixed networks construction , installation and maintenance services .",2
5272,$AMZN Trailing 12 months operating cash flow rose 48% to $4.98 billion & free cash flow decreased 63% to $388 million http://stks.co/c06zG,1
3900,Componenta will also offer a five-year subordinated loan for subscription by the public .,1
3890,"The transaction will have a positive impact of around EUR2m on earnings , which Ruukki will recognize during the fourth quarter of this year .",2
5210,Insurers: Admiral blows hot and cold but Aviva soars pre-Friends Life merger,1
1268,The center will be built in the Kapuli district of Mantsala beside the Hanko-Mantsala-Porvoo road near the new direct rail link between Lahti and Jarvenpaa .,1
3473,"As a result , the company has decided it will implement fixed-term temporary lay-offs .",0
816,"For the full 2010 the company expects its net sales and operating result to improve from the previous year , saying that a positive operating result and its amount will depend on the order intake by the end of the summer .",2
1948,`` Our aim is to understand different traffic patterns based on the use of each building .,1
1479,"The business transfer will take effect from 1 January 2007 , and in connection with this 47 employees will transfer from Elisa to Daxtum as continuing employees .",1
1236,Poyry has a good track record of major transportation projects in Latin America .,2
136,$FREE Ha Heeeeeere comes the pump! So glad I picked up 9K end of day! Get ready for the bull ride!,2
1853,"The Annual Report contains the financial statements , the consolidated financial statements , the report by the Board of Directors and the auditor 's report .",1
5119,"S&P has kept its `` sell '' rating , while Nordea and UBS have reaffirmed their `` buy '' recommendations .",1
817,"Operating margin , however , slipped to 14.4 % from 15.1 % , dragged down by a poor performance in enterprise solutions .",1
4457,i-Grid shows $DIA capped for the long term at range of 123.40- 124.77;any rally beyond today's levels or into this range leads to meltdown.,0
3485,"Lassila & Tikanoja 's operating profit excluding non-recurring and imputed items for the second quarter was EUR11 .3 m , down from EUR13 .8 m a year ago .",0
3164,"Tiimari 's registered share capital is 16,474,755 shares as per today .",1
331,"Commenting on the deal , Shane Lennon , SVP of Marketing & Product Development at GyPSii said : ?",1
1483,"Cerberus Capital Management LP-backed printing paper maker NewPage Corp. has posted mixed second-quarter results , casting a cloud over its planned initial public offering .",0
535,It also turned to earnings per share ( EPS ) of EUR 0.08 versus loss per share of EUR 0.04 .,2
4557,The plan is estimated to generate some EUR 5 million ( USD 6.5 m ) in cost savings on an annual basis .,2
2838,"$BRK.B $SPY  All time high tomorrow? 150k on the A shares, Dec 13, 2007.",2
1656,@1nvestor: $SODA has a 42.71% Float Short. LoL  http://stks.co/e0DfP,0
1262,Metso estimates the need for personnel reductions to amount to 25 people .,1
3970,"Cencorp , headquartered in Virkkala , Finland , develops and supplies automation solutions to the electronics and semiconductor industry that enhance productivity .",1
4505,AstraZeneca's patent on asthma drug invalidated by US court,0
2951,"The reductions will be implemented immediately , beginning in October 2009 .",1
5616,$IWM relative weakness is pretty apparent but the short boat is getting full on this one. I prefer the boat closer to empty.,0
4417,The use case dramatically narrows if you go only with the hot s Ltd.,1
1620,"The Apple Inc. iPhone wo n't change the game plan for Verizon Communications Inc. , Chief Executive Ivan Seidenberg said Wednesday .",1
237,Managing Director Kari Inkinen says that Sponda 's leasing operations developed highly favourably .,2
5167,"The seminar introduced modern , clean technologies and products , financial tools and sponsorship programs for energy and environment projects as well as the potential to develop clean energy in Vietnam .",2
2429,"`` Our extensive co-operation will also bolster SysOpen Digia 's position in the domestic operator market , '' Kallioranta adds .",2
1565,The company 's board of directors has proposed a dividend of EUR0 .12 per share for 2006 .,1
1981,"Incap Corporation Stock Exchange Announcement 29 April 2010 at 1 p.m. INVITATION TO A NEWS CONFERENCE ON INCAP 'S INTERIM REPORT Q1-2010 Incap will publish its interim report for January-March 2010 on Wednesday , 5 May 2010 .",1
3152,Tullow Oil Suspends Dividend Amid Oil Price Fall,0
2839,Salonen added that data shows producers ' pulp inventories in North America are declining . ',0
4688,"Originally posted to the PCMag.com security blog , Security Watch .",1
2992,"Published by Globes online , Israel business news - www.globes-online.com - on November 16 , 2009 -® Copyright of Globes Publisher Itonut 1983 Ltd. 2009",1
4860,3-star analyst Joe Wittine from Longbow Research reiterated a HOLD rating on $NTAP.,2
1628,"Daily Mail owner considering Yahoo bid $yhoo ,up 2,05% https://t.co/extZr1riyP",2
405,"( ADPnews ) - May 4 , 2010 - Finnish cutlery and hand tools maker Fiskars Oyj Abp ( HEL : FISAS ) said today its net profit declined to EUR 12.9 million ( USD 17m ) in the first quarter of 2010 from EUR 17 million in the correspond",1
5069,Rihko started to manage Raisio 's Benecol business in summer 2006 after heading tobacco company Altadis ' European operations .,1
5712,"Lead production , in turn , should increase to 60,000 tonnes through 2009 in what would be a twofold increase from current capacity levels , Zahariev said .",2
5611,Net sales dropped by 6 % year-on-year to EUR 11.9 million .,0
858,"`` The margarine business has been put into good shape in the last two years , making it a natural addition to Bunge , which is looking to leverage its position in the Central and Northern European markets , '' Raisio CEO Matti Rihko said in a statement .",2
4309,Glencore chief blames rivals' overproduction for share price fall,0
4092,It has some 30 offices worldwide and more than 90 pct of its net sales are generated outside Finland .,1
